id,text,label,dataset_type,predict_label
9273,Trường Giang ụa . Bả biết bả nhiễm s bả đ chịu khai báo cách ly đi . Chị bả nhiễm nguy cơ lay cho bả là rất cao . Hành khánh trên chuyến bay đó cũg bị nhiễm theo . Lớn r chứ phải con nít con noi,1,dev,0
9298,Vì 1 người tên nhung mà hại bit bao nhiu người,1,dev,0
9301,Như này thì saoo :))),0,dev,1
9304,K như lời đồn 😂,0,dev,1
9314,Bọn dầy tớ chấp chi.,1,dev,0
9319,An dau buoi ...an cut,1,dev,0
9341,Quang Chivas bố tổ sư thằng bại não,1,dev,0
9348,Ad à. Cái này ad bạy rồi. Đa phần đăng ký nó cho free mà bản thân e ko đóng tiền mạng 9 cái rồi đây,0,dev,1
9350,og tran dan ok bi  nhiem coronna.ma bi nhiẻm beh khat la beh gi? og bi beh B 20 dan đen than kih ko on nen noi nhieu . vui,1,dev,0
9351,Lụm Ở đâu trong cmt này,0,dev,1
9369,Đưa lên kiểu này có khi ngày mai nó cho người ra đập bỏ luôn là hiểu nhé 😭,1,dev,0
9385,cờ đỏ sao vàng đây nhá,0,dev,1
9391,Cô ơi cô lấy cái bai trộn hồ dích hột le nó đi cô,1,dev,0
9400,"Dịch bệnh không đáng sợ bằng ý thức, đạo đức của một số người 😟",0,dev,1
9405,Sử đẹp thật đẹp cho nó biết lễ độ và phép tắt,1,dev,0
9414,K chơi mấy trò này chó lấy j nuôi bụng bầu?,1,dev,0
9417,bắn bỏ,1,dev,0
9421,Cứ phải chửi cho mới chịu im :))),1,dev,0
9427,Bổ chết moẹ abe bây giờ,1,dev,0
9440,Thời trang mà dell ra gì.,1,dev,0
9455,Thanh Thảo quần què nầy 😪,0,dev,1
9464,Có khi nào đây cũng là cơ hôi làm giàu cho mấy ông mấy bà tay to,1,dev,0
9468,"Lời khuyên chân thành : gặp mấy con đàn bà chạy xe trên đường thì né tụi nó càng xa càng tốt , lũ dở hơi đó chỉ giỏi làm khổ người khác thôi !!",1,dev,0
9472,Ko xây lấy gì ăn :)),0,dev,1
9478,Bê đê chúa :)),1,dev,0
9491,Ít nhất thì ngta có bệnh ngta báo chứ k như con Nhung có bệnh mà đi vòng vòng,1,dev,0
9510,:( v,0,dev,1
9514,Thiếu bóng dáng cô Đẩu.,0,dev,1
9528,Đất nước ko phải của riêng một đảng phái nào,0,dev,1
9539,"Chong tham nhung, chang le ng nha chống nguoi nha ???",1,dev,0
9540,Cô ba vàng giả cái () cát không.😂,1,dev,0
9541,Trần Diên Dưỡng cái ghế vl đấy,1,dev,0
9556,Bán Nam bán Nữ,1,dev,0
9557,Đung tới bac kỳ la em sẽ tiep tuc co cuoc song ko binh yen ne nhe để xem nhieu tap,1,dev,0
9580,Đầu bui,1,dev,0
9611,Nguyễn Trọng Hiệp có cần cho mượn con bmw 760li ko :)),0,dev,1
9621,Huy Lê T thấy có chữ Đụ =]] Mắt t hoa hay gì ?,1,dev,0
9628,Trẻ trâu đó =))),0,dev,1
9634,Style khoe cu của mấy anh biến thái à 🙃,1,dev,0
9638,Phát Thịnh thầy tui như thằng xì ke.,1,dev,0
9639,Tuổi trẻ chưa trải sự đời...😂...phong cách quần què j v...😛,1,dev,0
9670,Thật sự nể phục khả năng phá hoại của băng đảng này.,0,dev,1
9676,Huyền Vy dẹp mẹ đi,1,dev,0
9683,Nếu tính như các nc tiên tiến thì lấy đâu ra tiền để con dịnh cư ở mỹ,0,dev,1
9721,Học tập và làm theo...đến tẩu hỏa nhập ma luôn,1,dev,0
9722,@MCVMedia nua co phim gi cho em dong vs nha.Mong chuong trinh reppppp,0,dev,1
9725,Nhà nước phải xây thêm nhà nghỉ cách ly để người ta còn đủn nhau trong lúc chờ kết quá,0,dev,1
9726,Biết vậy bắn chết ông này trước cho ông hỏi tiên chi để khỏi có corona 👾,1,dev,0
9736,Lê Luân đừng so sánh lương. Mà hãy so sánh quyền lực và lợi ích. Làm cty tư nhân là người lao động không có quyền lực . Còn làm nhà nước là con cháu các quan chức có quyền lực và nắm trong tay nguồn lực của địa phương vả quốc gia. Vì vậy một người hưởng lương do công sức lao động của mình và một người hưởng lợi ích từ toàn bộ dân địa phương hoặc quốc gia gom lại thì tiền của ai nhiều hơn????,0,dev,1
9749,Bả này có dương vật đó,1,dev,0
9765,Đây là thất bại của CS chứ còn gì nữa,0,dev,1
9768,Thầy cởi quần thịt luôn,1,dev,0
9798,200.000 hộp thuốc giết người.,1,dev,0
9800,Còn này thật hoc,1,dev,0
9801,V: ai đó giải thích cho em cái gì ló ra đằng sau kia,0,dev,1
9817,"Đừng nghe những gì cộng sản nói , hãy nhìn những gì cộng sản làm",0,dev,1
9827,Hoan ho chị ba .sao ko cho cai cad zạ chị ba .ung ho qua ma sao ko cho em,0,dev,1
9845,"Tuổi 17 bẻ gãy sừng trâu, lên 18 thì càng lên level. Đề nghị các bạn đái nhẹ, ị khẽ, địt duyên! Khéo lại bể tường... 😓😓😓",1,dev,0
9850,"Cai miệng nhìn co duyên, chưởi ,nhung nhìn cai miệng co duyen",0,dev,1
9856,gã tâm thần.răng long râu rụng,1,dev,0
9906,:)) cái chính quyền đu càg bỏ chạy đấy thì cũng chẳng mất nhiều côg sức lắm,1,dev,0
9916,Điệp Còii vcl cáo là ai :)) con anh độ nhé :)),1,dev,0
9935,"Bọn này vô học, lại thích khoe khoang để lấy thành tích, viết những câu chữ tối nghĩa.",1,dev,0
9941,Công an khôn lắm lúc đánh nhau còn lâu thấy mặt đánh xong rồi mới mò đến lạ gì,1,dev,0
9945,Park Kee rất thích ở Sài gòn :)),1,dev,0
9946,chiich phu tran dan.bi cach ly car chisnh phu.,1,dev,0
9947,"lông dương lông là lông , dương là dương v.. Có nghĩa là lông cu",1,dev,0
9948,Biết vậy ở nhà đọc truyện sếch còn hơn thầy ạ,1,dev,0
9968,Lũ pede xạo xự. Mới hơm qua chúng tâng nhau lên mây. Nay chúng siủa cắn nhau như chó tháng 7. Hahaaaaaaa,1,test,0
9969,tr ơi nhìn thầy giống con póng quá à.,1,test,0
9986,Huỳnh Tuấn phản động đó bạn,1,test,0
9987,90tr dân Việt Nam đang vả nhung nè,1,test,0
9991,Nga Tran lom dom :)),0,test,1
10003,Haha lại ba que xỏ lá,1,test,0
10024,Nản cái chế độ...,0,test,1
10027,Hải Yến mày mới là con rảnh đấy. Chưa xem đã bảo cảm thấy chán =)) điên hết phần thiên hạ,1,test,0
10058,Abe có thể chiếm đoạt được trái tim của Tiểu Tiểu nhưng riêng blue của Tiểu Tiểu thì Abe tuổi lol chiếm đoạt được :vv,1,test,0
10070,"Má, .....xăng xuống giá mà luật CA cứ tăng tên",1,test,0
10087,"Bị giải tỏa nhưng đền bù không thỏa đáng, cả nhà sắp mất bát cơm nên làm liều.",0,test,1
10093,Những hình ảnh bạo lực của người HK vẫn còn in đậm trong tâm trí của chính tôi.Cảm phúc ý chí và sự đồng lòng của họ.Thương lắm các cháu vẫn chưa đc trả tự do.Mong cho các cháu đc bình an.,0,test,1
10095,Tụi học trò vô văn hóa,1,test,0
10099,Trần Dần đã đạt cảnh giới cao nhất của thần quyền là...thần kinh,1,test,0
10115,Ăn điêu nói hớt quen.,1,test,0
10124,đíu tin được luôn =)))))))),1,test,0
10131,cái gì thế :)),0,test,1
10143,Phi Quý dầu thơm mùi nhức đầu chết mẹ =)),1,test,0
10157,Má nước mắt cá sấu kìa trời,1,test,0
10162,"Cho em hỏi dư luận viên đi ăn có được giảm giá không? Tiền điện, tiền xăng... có được miễn phí không ạ! 😂",1,test,0
10165,"Và người dân nghèo_trẻ em,cụ già không đc hưởng ASXH",0,test,1
10166,Ông này chắc là bọn Tân thiên địa nằm vùng bên mình rồi....,1,test,0
10179,Trung đái dầm,1,test,0
10182,virus corona tuổi lìn :))),1,test,0
10209,Chúng xây tượng đài nhiều hơn trường học.,1,test,0
10224,"Càng đọc càng tức con quỷ đó. Bây giơ vì nó bao nhiu ng chuẩn bị thất nghiệp, người gia thì lo sợ hoang mang, bao nhiu chủ Doanh nghiệp đợt này tiu luôn. Thứ gì đâu ak",1,test,0
10234,"Bả chửi người ta lên mạng câu like , bả mấy là người câu like đó , kêu người này người kia ủng hộ nhiều nhiều , đi Mỹ chơi về cho mỗi đứa ngàn đô ,  nghe muốn đái ỉa ra một lượt cho bả coi , lên mạng ngồi bán từng chai dầu thơm kiếm lời mà nói chuyện chảnh chó.",1,test,0
10249,Bà này Người ở Bề Trên hả gì á... toàn nói chuyện kiểu người khuất mặt khuất mài ko... chắc ở bên trại Tâm Thần xuất trại...,1,test,0
10267,Chấp gì thằng thiểu năng đó Trần Ngọc Giàu ơi,1,test,0
10275,A méo nên về nước thì mới đúng,1,test,0
10302,"Ngày xưa, khi giấy vệ sinh chưa phổ biến thì mỗi gia đình đều thấm nhuần tư tưởng đảng mỗi ngày. Ngày nay, khi giấy vệ sinh quá phổ biến, nhiều mẫu mã, giá cả phải chăng, mềm mại chất lượng hơn hẳn thì đại đa số dân chúng trở nên lệch lạc tư tưởng chính trị",1,test,0
10303,Thằng hùng vs bà  4 Nha đụ nín thở nhe a tuân.,1,test,0
10314,Cùm măn chằn lai cầm tay bự hơn bóp l.. nghe ko 😂😂😂,1,test,0
10323,Đỷ chị minh hiếu,1,test,0
10330,Giống nhau như 2 giọt nước. Mà mỗi cái là 1 giọt nước mắt với 1 giọt nước 💩 thôi ạ 😂😂,1,test,0
10331,Bớt bớt dô diên dùm cái nha 😒,1,test,0
10339,hiếp tao,1,test,0
10343,Rank Việt Nam mà yasuo tt6 tt5 thì del phải người Việt Nam r,1,test,0
10344,8 keo đang vật vã với 29 thứ tiếng rồi nên không làm phụ bếp được nữa kaka,1,test,0
10348,Nguyễn Định mất não be like,0,test,1
10374,Cân thận nó lại keu phản động :v,1,test,0
10386,ditme tối nay ao làng anh ơi,0,test,1
10391,Hot link em gái ngon ngọt nước cho ae nè,1,test,0
10396,toàn chó k,1,test,0
10406,Dân tộc trường tồn là sao? Ai cắt nghĩa tại sao phải viết như vậy đi?,0,test,1
10422,Ông Thầy này muốn ngủ gầm cầu lắm rồy nè !!!!!!,1,test,0
10423,Khổ quá,1,test,0
10426,Phương Minn thế là chúng ta chung thần tượng rồi đấy,0,test,1
10428,Máu cộng sản ăn vào người rùi nên vậy.,0,test,1
10453,"Có thể là do thế lực thù địch lợi dụng những hôm đêm tối đã ra đào bới bờ kè, khiến cho bờ kè bị sạt lở. Đây là 1 trong những chiêu trò kích động người dân của bè lũ phản động. :3",1,test,0
10454,toàn các cô gái ngồi xổm trym quệt đất ạ..,1,test,0
10457,"Dạo này bệnh lợn tả châu phi tạm yên !! Bây giờ lại bắt đầu bệnh bò điên hoang tưởng , rối loạn phân liệt ông giáo ạh ! Thế có nguy ko chứ",1,test,0
10466,Sắp xuống lỗ rồi,1,test,0
10471,Tây nó lại bảo mới trốn viện,1,test,0
10478,Trần Linh,0,test,1
10488,Trong một diễn biến khác. Lại có cờ mẫu quốc phấp phới đâu đây,0,test,1
10495,Ngu na noi tren troi duoi dat k,1,test,0
10511,Đồ dỡ hơi,1,test,0
10517,Hô hào tuyên truyền quyết tâm phòng dịch nhiều rồi một số người vẫn cố tình kô tuân thủ cách li ô phải dùng tới nắm đấm thôi.....,1,test,0
10518,Nhân cách thua con gấu bông nhà t🙂,1,test,0
10525,Chi ba bi ngao đa ha chi 3,1,test,0
10533,"Ổng tư tưởng tiến bộ lên rồi, hết 3 que r",1,test,0
10557,Bây h so hay sam gì nhìn cũng đ dám ăn 😢,1,test,0
10569,bít này viết có hết mực hông ad?,0,test,1
10573,"Nền giáo dục phương tây đã dạy gì cho những \""ai kia\""☹️. Nghĩ nó chán, sang chảnh mà ý thức l0l😑",1,test,0
10580,Hồ Nguyễn Quốc Phú mấy thằng đầu buồi này rp làm mẹ gì thứ như nó ngoài đầy rp tới sáng chưa hết :)),1,test,0
10607,Sa béo nhìn ngấy vl :)),1,test,0
10608,Ảnh hưởng đến công việc thì kệ cụ nhà m,1,test,0
10629,Iu cô gái khơ me hàm răng trắng tác cái l** đen thui 🙏🙏,1,test,0
10638,"Tụi tui hỏng dám nói sau giải phóng,chỉ dám nghệ thuật hóa sự kiện sau 75, TỪ NGÀY ĐỨT PHIM...🤣🤣🤣 khổ quá.",0,test,1
10644,TRUNG QUỐC LÀ 1 BẬC THẦY VỀ HỐI LỘ. :))),1,test,0
10657,Chẳng lẽ nên kêu người dân nhắn lại .. xin lỗi bác thủ tướng em bị lụt ko có điện thoại nên bác đừng nhắn đễ làm giàu cho nhà mạng,1,test,0
10668,Ô này xin làm lảnh đạo chỉ nhận thù lao $1/1 năm(đở tốn lắm đó nhe.,0,test,1
10669,còn bạn giúp người bằng bàn phím,1,test,0
10678,Chị là người khẩu xà nhưng tâm phật. Chấp nhất gì vs cái thứ đó chị ơi,0,test,1
10690,Các bạn bị ngu hả đây là style mà.?,1,test,0
10692,Cương Đặng con mực mà,0,test,1
10693,Hoangphat Nguyen hơi trách đâu trách bà quỷ này bạn ơi.mình người miền nam nhưng nghe còn mệt hả luôn,1,test,0
10698,Phạm Thu Trang Nguyễn Minh Phượng hay là trang lòn nhỉ 🙂,1,test,0
10712,Nguyễn Đăng Khoa thg học trò l này :))),1,test,0
10715,được vl anh độ ạ😂,1,test,0
10726,Con co rona dau mà hỏng tap vo coi mo di nay vun on,0,test,1
10746,"Tôi không dùng bảo hiểm , bởi vì bác sĩ coi thường sức khỏe bệnh nhân dùng bảo hiểm !!!!!!",1,test,0
10753,"tiêu thụ bia nhiều nhất, trẻ trâu nhiều nhất :))",1,test,0
10756,Quốc Đạt nước đi chính xác đấy :))),0,test,1
10762,Nhìn kỹ mặc cô ba giống đàn ông ghê,0,test,1
10765,Gia Minh thầy bị camp chứ đánh lủng cc đâu petland quăng mạnh vcl ra ấy :)),1,test,0
10767,Con này nó bỏ quên não khi chạy xe rùi.😈,1,test,0
10775,Bao nhiêu tiền đem cho con đi định cư bên mẽo cả rồi,1,test,0
10778,"Phải nói cho rõ là Chính phủ tặng chứ thủ tướng lương có hai chục triệu thì lấy đâu ra tiền mà tặng, thực tế thì ông cũng ko bỏ tiền túi ra!",0,test,1
10780,Đù ..đăńg qúa,0,test,1
10781,Và bộ tộc mixi cũng từ đó ra đời dưới sự lãnh đạo của tộc trưởng người Cao Bằng buồi to như lõi giấy vệ sinh =)),1,test,0
10782,Kay vl đang ngon bỗng nhớ lại mấy chuyện sân si suýt cười ỉa =)))))) Triệu Huy Tú,1,test,0
10791,And DLV come in 3...2...,0,test,1
10802,Tú là con đĩ của aBe hãy gọi aBe là Daddy điiiiii,1,test,0
10820,Anh sinh viên nghèo Hải Phòng và Con cave già Sa Đéc !,1,test,0
10823,Câu Fame vớ vẩn,1,test,0
10824,Trong khi thế giới đang đi lên thì nước mình lại đi xuống...,1,test,0
10830,hậu duệ mặt dày,1,test,0
10848,Bãi cức nào cũng có dấu răng của AD ^^,1,test,0
10849,"Lão già này đã mở được mắt rôi à, năm 2022 quoay đầu về bờ , đúng là đồ dở hết đường đi. Võ ông đánh gà ko tụt lông.",1,test,0
10866,Link em gái ngon ngọt nước nè bao phê luôn,1,test,0
10871,Nhảy ổn như mạng nhà t😕,1,test,0
10876,"Thực dân pháp rất ác đè đầu cởi cổ thu trăm thư thuế, bây giờ dân tự nguyện đóng nghìn thứ thuế",1,test,0
10887,Hòm đang chờ e,1,test,0
10890,Idol nè Vũ khắc CẶC,1,test,0
10902,Người có tiền mặc gì chả đẹp,0,test,1
10903,Tại c t chân thật quá k quỷ ma giống m,1,test,0
10906,Linh cẩu,0,test,1
10909,Trúc Thư hỏa thiêu nó đi,1,test,0
10911,Thôi tụi nhật về nước dùm tao đi,1,test,0
10931,Da bao dung nghe cs noi !!!,1,test,0
10940,Nhà tiên tri nghe bắt oi,1,test,0
10948,Giờ m mới sáng mắt ra và tai đã nghe đc rùi phải k,1,test,0
10952,Bác sĩ chữa khỏi bệnh cho một người trả tiền cho bệnh viện nó khác.,0,test,1
11001,Nguyễn Long vlin thật lun á bọn vô ý thức,1,test,0
11009,Chó rồ nhập,1,test,0
11011,Minh Nguyen đếm lá chơi bời gì nữa,0,test,1
11022,"qua việc này anh em đừng kinh thường 1 con ruồi, dù nó đã chết nó cũng có thể làm cho 1 người đàn ông đi tù 7 năm. Sức mạnh của 1 con ruồi chết ở đâu khủng thế???",1,test,0
11051,"từ dịch này thấy ý thức người nhật xăng đổ nửa bình, nhưng giấy vệ sinh không thể thiếu. không hy sinh bản thân để cứu người khác, nhưng dính dịch thì kéo nhiều người dính theo.",1,test,0
35108,Dm báo lá cải.. Nghĩ gì khi ở qn mà có hơn 30% hộ nghèo.. Lên google hỏi xem tỉnh nào kinh tế lớn nhất cả nước,0,dev,1
35121,"Loạn, loạn hết mẹ nó rồi. Con thắm bây giờ chuyển sang trình bày văn hoa lịch thiệp, thằng ngã cây thì đi làm thiết kế thời trang. Còn thằng đánh giầy mất con mẹ hút. Có phải tại giời mưa lâu quá không???",0,dev,1
35127,Tao cầu mong sao ông bà cha mẹ con cái mày tích cực uống thứ nầy nhá,0,dev,1
35130,Mũi chi sao ma méo vay,0,dev,1
35140,Ba cát lạng,0,dev,1
35144,Đúng là Trung của thời trẻ trâu mà giờ Trung đã thành già trâu :))),0,dev,1
35148,Cứ phải chửi cho mới chịu im :))),1,dev,0
35155,Anh độ chửi con nhân vật ngu mọi người ạ . Trong khi anh ấy... mọi người hiểu ý tôi chứ,0,dev,1
35167,Thầy giáo mày fan Tào Tháo rồi,0,dev,1
35176,Con mèo kêu meo meo,0,dev,1
35179,Nguoi giau kg ai an noi tho tuc vay dau,0,dev,1
35197,Hài vcl,0,dev,1
35206,Thiết nghĩ nên tháo bài này xuống đi ad ah . Có những lúc chửi cần phải có tư duy 1 chút nhé .,0,dev,1
35210,Thầy cởi quần thịt luôn,1,dev,0
35212,"Giá xăng rẻ hơn vài ngàn đồng, thu nhập cá nhân thì thấp hơn vài ngàn đô, thiên đường XHCN",1,dev,0
35227,Nho Lâm còn chưa có kq của mấy nv trong ĐMX nửa đó c. Rồi họp chung 40 người nữa. Con số này chưa dừng lại đc rồi 😭,0,dev,1
35230,chot don chot don chot don chot don chot don chot don chot don chot don chot don,0,dev,1
35237,Già mà non =))),0,dev,1
35248,Yêu mẹ,0,dev,1
35257,Công nghệ Đức của nhà máy nước Sông Đuống đây :)) hoá ra là Đức Chung :)),1,dev,0
35262,Trẻ trâu nhờ like,0,dev,1
35263,Tin vào đảng đi các con dời!,0,dev,1
35266,xịn xò như này k thầy 🤔,0,dev,1
35269,Ai làm gì nó mà kén,0,dev,1
35270,Con linh cá lóc này hông cho ai được 1 đồng 1 cắt mà kiếm chuyện dứ chị minh hiếu chời!,0,dev,1
35283,Vì miếng cơm manh áo !,0,dev,1
35289,Chất chz đấy🧐,0,dev,1
35305,Nhin chi đep hâp dân qua mui chi đep qua,0,dev,1
35309,Hồ Nguyễn Quốc Phú mấy thằng đầu buồi này rp làm mẹ gì thứ như nó ngoài đầy rp tới sáng chưa hết :)),1,dev,0
35315,"Xã tắc mang dâng cho ác quỷ
Ham danh hám lợi hiến tổ tiên
Đê hèn như một lũ điên
Quốc dân ai oán động thiên lệ trần",0,dev,1
35324,"hãy tuyệt đối tin tưởng vào các cơ quan chức năng, hãy tin tưởng vào nghiệp vụ của các lãnh đạo, tuyệt đối tin tưởng vào đường lối sáng suốt của đảng! 3 triệu đâu đưa đây",0,dev,1
35338,Bá đạo ợ,0,dev,1
35342,"Thực dân pháp rất ác đè đầu cởi cổ thu trăm thư thuế, bây giờ dân tự nguyện đóng nghìn thứ thuế",1,dev,0
35357,Học tập và làm theo...đến tẩu hỏa nhập ma luôn,1,dev,0
35362,QuânAnh dogy chứ,1,dev,0
35379,"Lần này nhìn cô ấy, rất bùn.",0,dev,1
35395,"Bìnhh Tây's vậy mày nói hs là mấy đứa ko có trình độ ko biết nghe nhạc à , ko lẽ hs nào cũng trẻ trâu cũng ngu dốt DẸP CÁI THỐI GOM ĐŨA CẢ NẮM ĐI",0,dev,1
35399,Vc tội anh tôi vl :))))),0,dev,1
35401,"Bé Châu đm dân chơi nhìn phát biết luônnn, bắt chước trend, nó ở cái tầm hihi",0,dev,1
35403,Chính mồm lão Dũng hứa ko chống đc tham nhũng sẽ từ chức,0,dev,1
35418,"Bóng đá thôi mà, có gì quan trọng đâu, thắng hay thua trận banh có ảnh hưởng gì đến vị thế Quốc gia đâu, cuồng thì để họ cuồng.",0,dev,1
35427,Nhìn anh độ nứng vl :))) quay sang quang tắt nứng,0,dev,1
35436,tự tử bằng quần treo lên ...cửa sổ còn được nữa là ! nơi tạm giam của can vn nó ma mị kinh dị lắm !,0,dev,1
35445,"Kg nói c kg bt e giới tính thứ ba, e quá tuyệt vời,,,rất đẹp...",0,dev,1
35448,tucccc,0,dev,1
35455,#ERROR!,0,dev,1
35466,Như con bóng dạ.:)),0,dev,1
35473,vv,0,dev,1
35476,"Nhật theo TBCN thì bị nhồi sọ tư tưởng Phát xít ( may mà Phát xít là đứa con của TBCN sinh sản ra chứ ko phải XHCN :3 ), Nhật ăn 2 trái bom nguyên tử của Mỹ thì yêu thương sao được lúc bấy giờ! Ném trái lựu chết 2 3 thằng Mỹ bị tố là khủng bố. Mỹ ném 2",0,dev,1
35490,Khongggg,0,dev,1
35499,Hồ Sỹ Hải nó ở cái tầm khác....thật sự cái điệu nhạc nghe mãi k chán..thề lun,0,dev,1
35500,Hán hoá từ từ,0,dev,1
35503,Lê Văn Quật bọn mình đều chờ thầy thực hiện,0,dev,1
35519,sao mỗi bên có 3 4 chục người thôi nhỉ. đọc shonan junai gumi thấy bọn học sinh chúng nó còn đến cả trăm thằng :v,0,dev,1
35523,Anh bom cay lắm đây :)),0,dev,1
35525,Để khi nào đói ra nhìn cái cổng sẽ no mà k cần ăn,0,dev,1
35527,"Kéo khoá sợ ""ngột ngạt""",1,dev,0
35532,Tuyên truyền sao hiệu quả bằng mấy cái băng rôn giăng kín lối ở xứ thiên đường kaka. CA còn uống rượu lái xe rồi gây tai nạn làm gương nửa kia,1,dev,0
35544,Đặng Thị Mỹ Duyên bớt nói linh tinh,0,dev,1
35547,ra là ra khỏi nghành bớt đi đẻ thằng khác không như vậy nữa,0,dev,1
35557,"Tôi vê thâm my , thât su mà noi , sua qua nên không con gi la tu nhiên nua , ma co thê noi là qua xâu ! thâm my môi bi lôi nên gio , trên khuông mat hê ai nhin vào thi nhin cai môi truoc không phai vi dep mà vi thây no lo cai xâu ra, cung do và nhin không co gi la thâm my ca nên ban nào truoc khi muôn làm thâm my thi hay nhin nhung nguoi sua qua dà giong nhu nguoi trên dây rôi hay suy nghi nên làm hay không ? nêu trên mat co khuyêt diêm thi nên sua con thây minh cung không co gi qua tê thi nên dê tu nhiên thi se hay hon",0,dev,1
35558,Giống vl :)),0,dev,1
