id,text,label,dataset_type,predict_label
43742," thế nên con bé đành phải vay tiền để gửi về cứu mạng anh trai, bởi nhà hết đường rồi. ai đi xuất khẩu lao động thì sẽ biết, rằng mấy năm đầu sẽ chẳng dư được bao nhiêu, bởi phải trả góp cho bên môi giới rồi thêm nhiều khoản bắt buộc phải chi ban đầu. thường thì phải đến khi được gia hạn hợp đồng thì mới bắt đầu có dư, rồi mới bắt đầu nhận được các đãi ngộ thâm niên hay tăng bậc tay nghề của bên chủ thuê",1,train,0
11252,Haizzz Nhung thì đáng trách thật nhưng tình hình như này thì Việt Nam vẫn có thể tiếp nhận thêm bệnh nhân từ nước ngoài về ((,0,train,1
9441,Anh em đang cmt và xem đéo được :))),1,train,0
29408,"Theo mình thì chủ phương tiện, người bảo hộ của trẻ vị thành niên cũng liên đới chịu trách nhiệm!",0,train,1
42327,"” năm 2004 ở campuchia ông cho biết, năm 2004, mục sư nguyễn hồng quang của hội thánh mennonite bị bắt. ông và một “ông anh” phản đối, kêu gọi thả mục sư, nhưng sau đó sợ chính mình cũng bị bắt nên trốn sang campuchia. tại campuchia xin tỵ nạn, ông bị đẩy từ trại này sang trại khác, không được chấp nhận, và cùng nhiều người tỵ nạn khác bị trục xuất về nước",1,train,0
38596," thấy vậy thì nữ vận động viên mới hỏi người bạn đi cùng rằng tại sao lại như thế. người bạn trả lời: - cậu hãy cởi hết áo quần ra, xong thì chỉ mặc đồ lót mà ra đó trình diễn lại, đảm bảo lần này sẽ có tiếng vỗ tay. * 312) rất công bằng, rất khách quan phóng viên hỏi nhà sản xuất phim: - có thật là trong ngành này nam diễn viên càng lớn tuổi thì mức cát-xê sẽ càng cao, còn đối với nữ diễn viên thì ngược lại hay không? “gần đúng thôi, đa số chứ không phải là tất cả",0,train,1
26718,Nên có những hình phạt ngoài giam giữ mang tính răn đe với những loại tội này để bảo vệ những em nhỏ . . .,0,train,1
43397," đúng là có soi mới moi ra được những khuất tất này, nếu không thì cán bộ sẽ nuốt hết, giống như đàn gà giống hôm trước chui hết cả vào nhà cán bộ. mới thấy một nền tự do thông tin rất cần thiết để bảo vệ người dân. hoan hô những nhà báo vì dân mà phục vụ",0,train,1
15063,bạn nữ này ngon quá,0,train,1
1131,a hihi lũ chó lợn thích thủ dâm ở đây nhỉ,1,train,0
42109," 2. phạm tội gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội, thì bị phạt tù từ 02 năm đến 07 năm. thoạt nghe, điều luật này có vẻ… có lý",1,train,0
27072,mấy bác cứ nói cho sang miệng .gặp ở Việt Nam chắc cũng vào nhà hàng .,0,train,1
12872,Con này em ruột chà Mu hay gì mà ăn nói cốt cách lươn lẹo giống nhau ghê,0,train,1
43930," bệnh viện có quy định riêng cho những trường hợp như thế này nên chuyện tiền bạc không phải là vấn đề, các y bác sĩ và nhân viên xã hội cũng có hỗ trợ rất nhiều, nên chi phí sinh hoạt của đôi vợ chồng đó cũng coi như tạm ổn. họ chính là hình mẫu cảm động nhất trong bệnh viện, cách người vợ việt nam chăm sóc cho chồng bệnh khác rất nhiều so với những đôi vợ chồng phương tây, sự yêu thương lo lắng đó khiến người ta phải ghen tị và ngưỡng mộ . tôi không giỏi lắm trong việc miêu tả sự ấm áp và hạnh phúc, chỉ là có một việc mà tôi nghĩ là mình nên nói ra",0,train,1
27172,"Tội nghiệp mới tí tuổi đầu, cơ địa chưa phát triển hết mà đã bị ép gánh tạ rồi. Không khéo sự nghiệp đi tong với cục tạ ý chứ chẳng chơi. Đến những cao thủ cơ địa lực lưỡng như Cout, Dem, Griez, Su..Còn phải ra đi trong nước mắt tủi nhục kia kìa.",1,train,0
28351,Cạn lời những người làm cha làm mẹ như thế này loại gì chứ phải con người,1,train,0
6039,Noi chuyen tao lai nguoi ta hoi ong mot duong ong tra loi mot neo tao Lao,1,train,0
196,Thinh Hoang may là izakaya ở nhật chứ ở houston chết mẹ t:)),1,train,0
40536," cụ thể đã có 10 lần đấu giá từ năm 2016, nhưng tập trung nhiều hơn từ năm 2021 cho đến nay. tiến sĩ trần đình hằng, phân viện trưởng, phân viện văn hóa nghệ thuật quốc gia việt nam tại huế cho biết việc rao bán cổ vật ở việt nam không phải là vấn đề mới. ""rất buồn, vô cùng đáng tiếc, đặc biệt là những văn bản chính thống của cha ông đúng nghĩa là phương diện quốc gia thiêng liêng, đậm đà bản sắc văn hóa dân tộc và bản lĩnh quốc gia đại việt - đại nam một thời, nay lại bị rao bán ở hải ngoại",0,train,1
40000,"luật rico áp dụng như thế nào cho vụ kiện chi phái cao đài 1997 • các yếu tố chính trong luật rico ts. nguyễn đình thắng ngày 13 tháng 3, 2024 luật rico, viết tắt của racketeer, influenced and corrupt organization act, được quốc hội hoa kỳ ban hành năm 1970 nhắm vào các tổ chức tội phạm, kể cả khi nằm ngoài hoa kỳ nhưng có hoạt động ở hoa kỳ. đặc điểm của luật rico là bao gồm cả dân sự lẫn hình sự",0,train,1
10628,. còn gì để nói nữa không 😭😭sao ông trời nghiệt ngã quá vậy n còn nhỏ lắm bít gì đâu chứ 😓😓thw con 😭😭út hết dc gặp con rồi 😭😭,0,train,1
39995,"thay vì xác minh mấy người dùng mạng xã hội, dân đề nghị các cán bộ dành thời gian + trí lực để xác minh trùm cuối việt á là ai. chứ mang tiếng đại án mà gần 2 năm rồi cả nước vẫn chưa biết ai là kẻ chống lưng. còn vụ này đơn giản, cứ kẻ nào nhận cháu nhận bác thì đem ra xử lý trước! hạnh nhân",0,train,1
18469,Vậy nó có ảnh hưởng gì tới cs chưa ?,0,train,1
43980," thời gian trôi qua, khi hắn đã già rồi trao lại sản nghiệp cho con, thì hắn cũng căn dặn đứa con rằng hãy tiếp tục cái công cuộc báo thù đó. rồi khi đứa con do không hiểu nên mới hỏi rằng tại sao lại làm cách như vậy, thì hắn trả lời: “lòng mang dối trá thì tâm không trong sáng, tâm không trong sáng thì trí tuệ không thông. kẻ như vậy dẫu có thiên tư tốt đến thế nào thì kết cục vẫn sẽ là tự biến mình thành loại tầm thường, không cách nào thăng hoa được nữa",1,train,0
41004,".] bình luận về phiên toà, ông josef benedict, chuyên gia vận động cho không gian dân sự khu vực châu á-thái bình dương của tổ chức liên minh xã hội dân sự toàn cầu (civicus), nói với đài á châu tự do (rfa) qua tin nhắn: “việc kết án các nhà hoạt động tô hoàng chương và thạch cường ngày nay về tội ‘lạm dụng các quyền tự do dân chủ’ là một sự nhạo báng công lý trắng trợn. cả hai đều là mục tiêu vì ủng hộ quyền lợi của cộng đồng khmer krom và lẽ ra không bao giờ bị đưa ra tòa",1,train,0
29077,Tôi ghét thú tiêu khiển câu cá và săn bắn. Câu cá kiếm cơm thì tôi không ý kiến nhưng câu để tiêu khiển thì thật độc ác. Họ câu con cá xong lại thả nó về tự nhiên. Thử để lưỡi câu móc vào mồm biết đau đớn cỡ nào. Có thể con cá được thả lại cũng không thể sống nổi vì bị thương ở miệng.,1,train,0
843,"Vũ Thanh Huyền mày điên à, bà này đi công tác.",1,train,0
42423," bạn ghét hệ quả của cuộc chiến không có nghĩa là bạn ghét luôn cả lực lượng đã đấu tranh bảo vệ đồng bào, rồi lan sang cả thế hệ cầm quyền của tận 50 năm sau. thù ghét thì phân biệt rõ ràng vì đây không phải thời phong kiến mà có kiểu thù cha thì con gánh thay được. 4",0,train,1
447,Ở cái xứ độc tài độc đảng nầy mọi chuyện sẽ được che chắn nếu chủ trường là con gái của tướng Vệ và thủ tướng Phúc !,1,train,0
40825," tổng số tiền thường có thể lên đến hơn 1 tỉ đồng. với giáo viên có học sinh đạt giải, thầy cô sẽ nhận thưởng bằng 50% học sinh. chế độ thưởng này nằm trong chính sách khuyến học của tỉnh",0,train,1
6753,"Lại nghĩ cảnh tập trận chống bạo động đại hội Đảng. Cứ tập trận như đúng rồi, sợ dân ta đến biểu tình nên phải làm vậy đây mà",1,train,0
30495,Chúc phần còn lại của bộ phim thuận buồm xuôi gió,0,train,1
4304,Có phải người săn hết bcs là ck nữ chính phỏng?????,0,train,1
43767,"tôi thách các vị đấy duy nhất có quyền nói, duy nhất có báo đài, mấy bố bên tuyên huấn đang dằn mặt, ra oai. chửi người này “phản động”. mắng người kia “hòa bình”",1,train,0
5853,Phụng Mỹ e lai dưới lon e lại lên,1,train,0
566,Khổ thôi chứ biết làm thnao đc? Đi đâu đc mà phải châm biếm nhau! Ai chẳng biết khổ nhưng làm gì đc đây! Xã hội nó thối nát nhưng lũ mọi rợ quá đông và hung hãn...,1,train,0
36766," ""tôi không muốn thoát ra sự bất lợi này bằng cách nói ra, bởi nó ảnh hưởng rất nhiều, đặc biệt là 2 nơi, bệnh viện, trường đại học và những nơi rất nhạy cảm. lên tiếng thì được cho tôi nhưng ""mất"" người khác, mất trường, mất lớp, cả vợ con và bạn bè tôi. tôi ""bị"" như thế rồi thì phải chịu, lên tiếng cũng chẳng lấy lại được gì, lại ảnh hưởng đến người khác, kể cả người tố cáo tôi"", ông t",0,train,1
6067,Bài nào cũng cmt nhưng vẫn đ đc fan cứng 🤦‍♀️,1,train,0
37137," toà án đã mất 6 tháng để cứu xét và bác bỏ đơn của ông nguyễn quốc dũng xin huỷ phán quyết của bồi thẩm đoàn ngày 16 tháng 8, 2023. cũng ngày 16 tháng 8, 2023, toà án đã phán quyết chi phái 1997 cùng thủ lĩnh của nó, ông nguyễn thánh tám, phải trả 200.000 mỹ kim cho các nguyên đơn chiếu theo luật rico, là luật nhắm vào các băng đảng có hoạt động tội phạm xuyên quốc gia",0,train,1
17730,Vậy ra cô cũng không biết thằng Hùng dí con Tư Nha là ai 🤣🤣,0,train,1
26329,Pháp luật trừng trị tên vô đạo này thật nặng,1,train,0
26644,Ôi thật là tàn nhẫn! :(,1,train,0
19863,Du k con bo me thi cung phai song cho bo me o suoi vang dc yen chu bo me sinh con ra ai muon con an noi nhu vay.,0,train,1
30864,Trump chắc chắn tái cử,0,train,1
5317,"Bạn nói đúng đấy! Người khác chỉ đánh giá sự thành công của bạn nhưng họ không chấp nhận sự nỗ lực của bạn đâu! Tiền ai trả muốn, nhưng cuộc sống này mới phức tạp, khi họ thấy đồng tiền nó quá bạc beo",0,train,1
29393,Nước Pháp nổi tiếng là văn minh và lịch lãm lại xuất hiện thành phần côn đồ từ bao giờ?,0,train,1
38793,"hotgirl' tina dương bị truy tố với 2 tội danh bị can ninh thị vân anh bị truy tố ra trước toà án để xét xử về tội lạm dụng tín nhiệm chiếm đoạt tài sản và tội sử dụng tài liệu giả của cơ quan, tổ chức. theo cáo trạng, tổng số tiền bị can chiếm đoạt trên 500.000",0,train,1
20330,Bé cũng chả bé hẳn. Lớn cũng chưa lớn hẳn. Tính cách vẫn ẩm ương :))) chán.,0,train,1
911,Mấy người này là con cháu của tụi bán nước chứ ai nữa. Đem vàng qua Mĩ mà hãnh diện hả?? Vàng của ai?? Tiền vàng cũng của người Việt của đất Việt mà lại hãnh diện ghê. Tụi bán nước tui trộm cắp.,1,train,0
6367,Tinh trùng khuyết tật cã một bè lũ tham quan từ nhỏ tới bé từ thằn bố tới cháu chắc,1,train,0
37537," thay vào đó, hãy nhã nhặn cho biết mình từ chối không trả lời công chức chính quyền bất kỳ câu hỏi nào mình không muốn đáp ứng và nên chủ động đặt câu hỏi ngược lại cho họ để khẳng định sự bình đẳng trước pháp luật. ---- chuyên gia pháp lý ba khía",1,train,0
890,Phát biểu nguu vãi,1,train,0
13669,"vì vài thành phần chủ quan mà gây hại đến toàn đất nước toàn dân tộc , cố lên vn",0,train,1
43834," xung quanh sự việc này, dưới góc độ pháp lý, cần thấy rằng, bản thân giáo dân giáo xứ bình thuận đã hoàn toàn sai. đó không chỉ là việc họ ngộ nhận về chuyện con đường mà còn là chuỗi các hành vi sai trái sau này và đỉnh điểm là sự việc xảy ra hôm qua (13/7) khi chính quyền, lực lượng chức năng tổ chức thi công đóng đường. theo đó, mặc dù đó là tuyến đường dân sinh cũ, nơi gắn với bao kỷ niệm đẹp của lớp lớp bà con giáo dân và một số người trưởng thành, đi xa như linh mục nguyễn đình thục",0,train,1
15391,Có nước đã win game đầu sau khi ra mắt còn có nước đã lose game đầu còn cà khịa,1,train,0
1791,âm tính với covid là đúng rồi. nhưng dương tính với bệnh thần kinh. cách li nhầm cmn chỗ,1,train,0
36710," những người thu nhập thấp phụ thuộc vào 1 cá nhân trong gia đình thì được hưởng bảo hiểm theo. cách tính của bộ y tế là phi thực tế và sẽ là gánh nặng thêm cho người thu nhập chính. quan trọng nhất là có còn tình trạng người bệnh phải tự đi mua vật tư y tế, tự đi mua thuốc theo yêu cầu bác sĩ hay không? doanh nghiệp chi khoản này khoản kia thì giảm lương, thưởng của người lao động xuống là điều chắc chắn, chứ không bao giờ doanh nghiệp chịu lỗ để chi hoặc chịu không lợi nhuận",0,train,1
3874,"Bà nầy nói chuyện ko có văn hoá , ko biết xấu hổ",1,train,0
35919,chiến dịch đ.ánh tư sản của đảng cộng sản thực hiện trong quá khứ luôn là nỗi á.m ảnh đối với các doanh nhân,1,train,0
41480," còn mấy ông tiến sĩ kinh tế thì cho hết vô chùa, đi khất thực để cho dân đỡ khổ!",0,train,1
16554,Thằng nằm kế bên láy máy bay hả,0,train,1
18258,bot nong chue di co minh hieu oi trong kinh qhat co noi kiep nay 0 tra kiep sao tra von o mat dau thoi co cung đung co buon,0,train,1
28414,"Trước cũng mê bim mà từ ngày làm 2 quả thận to tổ chảng là hết thích hẳn luôn,thấy mất cân đối và ko đẹp",1,train,0
6149,"Kệ mẹ lồi báo, bé này dễ thương.",1,train,0
14226,Tướng chạy bần hơn cả Black bi nữa thầy ơi,0,train,1
2310,"Nói thì hay, n lúc thực hiện thì chán vãi lồng.",1,train,0
3792,@Pham Cuong đmm,1,train,0
734,Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,1,train,0
29662,Đúng là con người là loài ăn tạp nhất thế giới!,1,train,0
16700,Ban đầu bả bực vụ kỳ thị Việt kiều . Mọi người biết xuất phát từ đâu mà ra ko,0,train,1
37481," - singapore có cơ sở hạ tầng đầy đủ. bao gồm đường xá không ổ gà, hệ thống xe buýt và xe điện. nước khác thì chưa",0,train,1
6138,vn thi deo no no cho trung Quốc bon dien,1,train,0
41164,"việt nam và australia nâng cấp quan hệ lên mức cao nhất: đối tác chiến lược toàn diện sáng ngày 7/3/2024, việt nam và australia đã chính thức nâng cấp mối quan hệ lên đối tác chiến lược toàn diện, mức quan hệ cao nhất giữa hai nước. thông báo được đưa ra trong cuộc hội đàm giữa chính phủ việt nam và australia sau hội nghị cấp cao kỷ niệm 50 năm quan hệ asian – australia. thương mại hai chiều giữa việt nam và australia năm 2022 đạt 15,7 tỷ usd",1,train,0
29035,"do ban tổ chức làm không tốt, cần quy định luật chơi rõ ràng, ông nào không tuân thủ trừ điểm",1,train,0
1660,Ngửi cho tỉnh đi 3 Gòa,1,train,0
13690,"Dù là ai hay ở độ tuổi nào thì cũng cần làm đẹp, không tin thì vô đây nhen, không có khoảng cách về lứa tuổi hay giới tính ở đây, link nè:",0,train,1
4347,Mẹ mày. Đang họp đấy bọn ngu,1,train,0
2731,"Trái cây thì a nghĩ chú mày ko dám nuốt vì sợ độc,2tr usd thì chú mày nuốt,khôn như chú xom a đầy",1,train,0
1397,Bắc Hàn là nghèo bền thật sự,1,train,0
1188,"Nói chứ nó rẫy chết mà tại chưa thấy thôi , nó giấu đó , một thanh niên cuồng cộng cho biết :))",1,train,0
2029,cong suc bao lau cua minh cung dang nhe~,0,train,1
13779,"Lúc đầu 500 triệu là tiền của MC Phan Anh đưa ra trước để tiên phong kêu gọi mọi người quyên góp chứ có phải tiền của người khác như stt trên bêu rếu đâu,người ta cũng nổi tiếng sẵn rồi,cũng đc nhiều người biết đến rồi cần gì phải làm màu để nổi. Làm gì,bằng cách nào cũng bị bóp méo,bươi móc nói xấu,đè bẹp cho đc,cần phải xem lại bản thân mình trước đi rồi hãy phán xét,trù dập người khác.",0,train,1
11743,Việt nem hỏng có thít đìu này :),0,train,1
40083," trên thực tế, công ty tài chính hd sài gòn là một doanh nghiệp chuyên cho vay lấy lãi (2), thực chất của việc “mở tài khoản” với công ty này là đăng ký dùng thẻ tín dụng và sẽ được khuyến khích xài thêm tới..",1,train,0
38736,":5. Tới 9 giờ sáng, chỉ số AQI của ô nhiễm không khí ở một số địa điểm ở Hà Nội vẫn ở mức 230, đánh dấu mức độ ô nhiễm không khí không tốt cho sức khỏe. Trước đây, Hà Nội đã nhiều lần đứng đầu thế giới về mức độ ô nhiễm, cao hơn cả Lahore, Pakistan",1,train,0
43429," mục tiêu của bức thư chung này kỳ vọng nhiều người trong đó có các dân biểu, thượng nghị sĩ và viên chức bộ ngoại giao hoa kỳ cùng quan tâm theo dõi các hoạt động kỷ niệm 100 năm ngày khai đạo của người cao đài chơn truyền 1926 để ghi nhận lại các phản ứng tích cực hay tiêu cực từ phía nhà nước việt nam. đặc biệt là trong một bối cảnh là quốc tế ngày càng nhận thức rõ về nỗ lực của nhà nước việt nam nhằm che chắn cho những vi phạm nghiêm trọng của chính họ và của tổ chức tội phạm đội lốt tôn giáo do họ dựng lên có tên chi phái cao đài 1997. --- bpsos – đề án dân quyền việt nam - link bài viết trên youtube: - link bài viết trên website:",0,train,1
41092," Nhưng có mà xem, chính quyền Việt Nam đã lên tiếng bênh vực cho những hành động của mình, coi những tù nhân này là những người vi phạm pháp luật và coi việc giam giữ họ là hợp pháp. Điều này chỉ là một ví dụ nho nhỏ cho thấy sự bất công và hà khắc của chính quyền Việt Nam đối với những người dám đấu tranh cho nhân quyền và tự do dân chủ. Đám chính quyền ấy thực sự đáng chết, không có gì xứng đáng phải tin tưởng hay tôn trọng ở họ",1,train,0
29460,Trong vài năm gần đây Barca như một sân khấu HÀI,1,train,0
36640," ông chính cho biết ngân hàng thế giới đã viện trợ không hoàn lại cho việt nam 6,2 triệu usd chỉ trong năm 2020. ông được mệnh danh là “thiên hạ đệ nhất cái bang”. phạm minh chính đúng là bậc “kỳ tài” có một không hai trong dàn lãnh đạo csvn, cỡ như cựu tt nguyễn tấn dũng, nguyễn xuân phúc vẫn còn thua xa về khả năng “ăn xin” của chính",0,train,1
39986,". * 88) xưa bọn con nít có trò chơi cảnh sát bắt cướp, chia phe đuổi bắt nhau. một phe cảnh sát và một phe ăn cướp, bắt xong hết một lượt thì đổi phe",1,train,0
31493,Giá nhà đất bị môi giới cùng mấy anh lướt sóng đẩy cao vút nay anh nào đang ôm không sao buông ra được vì cứ muốn lãi đậm cứ chờ xem... ôm được đến bao giờ nếu đi vay ngân hàng,1,train,0
83,"Bắn bỏ hết mẹ lũ tham quan đi, lũ chó",1,train,0
39629," họ ngạc nhiên hỏi lại ông: - sao vậy? sao không đi? đức cha cười nói: chứ nếu đi nước ngoài mà toi đời thì đi làm gì chứ?”. rồi ngài nói với các ông ấy: này nhé, tôi vào nhà ông, thấy ông để tượng hồ chí minh với lá cờ đỏ, tôi có bảo ông đem đặt chỗ khác không? đến nhà người ta ai mà làm thế bao giờ. ở nước ngoài, nơi tôi đến có lá cờ vàng, chẳng lẽ tôi bảo họ đem cờ đi chỗ khác cho tôi ngồi và chụp hình à?",1,train,0
7250,- giờ chuyện đó là bt chó giờ nhiều lắm 19,1,train,0
